id,name,brand,category,model,size,condition,cost,market_price,stock,url,market_price_source,market_fetched_at
HDO-00870,中古 トートバッグ ナイロン #150,PRADA,バッグ,BR4001-150,,S,45550,58500,1,https://example.invalid/hdo/870,,
HDO-00871,中古 ノートパソコン 15型 #151,NEC,家電,PC-GN-151,,A,37700,41000,1,https://example.invalid/hdo/871,,
HDO-00872,中古 電子レンジ #152,SHARP,生活家電,RE-SS-152,,B,15520,19500,1,https://example.invalid/hdo/872,,
HDO-00873,中古 掃除機 コードレス #153,DYSON,生活家電,V8-153,,C,19775,29000,1,https://example.invalid/hdo/873,相場サイト 直近30日中央値,2026-08-19
HDO-00874,中古 炊飯器 5.5合 #154,ZOJIRUSHI,生活家電,NP-BK-154,,ジャンク,13000,15000,4,https://example.invalid/hdo/874,,
HDO-00875,中古 液晶モニタ 24型 #155,IODATA,家電,LCD-MF-155,,S,7950,11500,1,https://example.invalid/hdo/875,,
HDO-00876,中古 コンパクトデジタルカメラ #156,CANON,カメラ,IXY650-156,,A,8060,14000,1,https://example.invalid/hdo/876,,
HDO-00877,中古 ミラーレス標準ズームレンズ #157,NIKON,カメラ,NIKKOR-Z-157,,B,24120,29500,1,https://example.invalid/hdo/877,相場サイト 直近30日中央値,2026-08-19
HDO-00878,中古 ブルートゥーススピーカー #158,JBL,オーディオ,FLIP6-158,,C,9200,11000,1,https://example.invalid/hdo/878,,
HDO-00879,中古 腕時計 ソーラー電波 #159,CASIO,時計,OCW-S-159,,ジャンク,37550,48500,1,https://example.invalid/hdo/879,,
HDO-00880,中古 ダウンジャケット #160,UNIQLO,アパレル,DWN-01-160,,S,5590,7200,1,https://example.invalid/hdo/880,,
HDO-00881,中古 ランニングシューズ #161,ASICS,スニーカー,GEL-KAYANO-161,,A,8430,12100,1,https://example.invalid/hdo/881,相場サイト 直近30日中央値,2026-08-19
HDO-00882,中古 ビジネスバッグ 本革 #162,PORTER,バッグ,PT-BIZ-162,,B,17670,22000,1,https://example.invalid/hdo/882,,
HDO-00883,中古 二つ折り財布 #163,COACH,財布,CH-W2-163,,C,12335,14300,4,https://example.invalid/hdo/883,,
HDO-00884,中古 アコースティックギター #164,YAMAHA,楽器,FG830-164,,ジャンク,23550,31000,1,https://example.invalid/hdo/884,,
HDO-00885,中古 キーボード 61鍵 #165,CASIO,楽器,CT-S300-165,,S,17275,19500,1,https://example.invalid/hdo/885,相場サイト 直近30日中央値,2026-08-19
HDO-00886,中古 ゲームソフト 人気タイトル #166,NINTENDO,ゲームソフト,HAC-GEN-166,,A,7178,9800,1,https://example.invalid/hdo/886,,
HDO-00887,中古 家庭用ゲーム機 旧型 #167,SONY,ゲーム機,CUH-2200-167,,B,17550,23500,1,https://example.invalid/hdo/887,,
HDO-00888,中古 タブレット 10型 #168,LENOVO,タブレット,TB-J606-168,,C,20600,23000,1,https://example.invalid/hdo/888,,
HDO-00889,中古 スマートウォッチ #169,GARMIN,時計,FR-255-169,,ジャンク,25840,31500,1,https://example.invalid/hdo/889,相場サイト 直近30日中央値,2026-08-19
HDO-00890,中古 空気清浄機 #170,PANASONIC,生活家電,F-VXR-170,,S,20350,27000,1,https://example.invalid/hdo/890,,
HDO-00891,中古 コーヒーメーカー #171,DELONGHI,生活家電,ECAM-171,,A,29150,32000,1,https://example.invalid/hdo/891,,
HDO-00892,中古 電動アシスト自転車 バッテリー #172,YAMAHA,その他,X0T-82-172,,B,18100,22500,4,https://example.invalid/hdo/892,,
HDO-00893,中古 プロジェクター 小型 #173,EPSON,家電,EF-12-173,,C,29200,42000,1,https://example.invalid/hdo/893,相場サイト 直近30日中央値,2026-08-19
HDO-00894,中古 マイク コンデンサー #174,AUDIOTECHNICA,オーディオ,AT2020-174,,ジャンク,8535,10300,1,https://example.invalid/hdo/894,,
HDO-00895,中古 トートバッグ ナイロン #175,PRADA,バッグ,BR4001-175,,S,41950,54000,1,https://example.invalid/hdo/895,,
HDO-00896,中古 ノートパソコン 15型 #176,NEC,家電,PC-GN-176,,A,23023,36500,1,https://example.invalid/hdo/896,,
HDO-00897,中古 電子レンジ #177,SHARP,生活家電,RE-SS-177,,B,11650,15000,1,https://example.invalid/hdo/897,相場サイト 直近30日中央値,2026-08-19
HDO-00898,中古 掃除機 コードレス #178,DYSON,生活家電,V8-178,,C,22025,24500,1,https://example.invalid/hdo/898,,
HDO-00899,中古 炊飯器 5.5合 #179,ZOJIRUSHI,生活家電,NP-BK-179,,ジャンク,13950,19000,1,https://example.invalid/hdo/899,,
HDO-00900,中古 液晶モニタ 24型 #180,IODATA,家電,LCD-MF-180,,S,13475,15500,1,https://example.invalid/hdo/900,,
HDO-00901,中古 コンパクトデジタルカメラ #181,CANON,カメラ,IXY650-181,,A,13150,18000,4,https://example.invalid/hdo/901,相場サイト 直近30日中央値,2026-08-19
HDO-00902,中古 ミラーレス標準ズームレンズ #182,NIKON,カメラ,NIKKOR-Z-182,,B,27560,33500,1,https://example.invalid/hdo/902,,
HDO-00903,中古 ブルートゥーススピーカー #183,JBL,オーディオ,FLIP6-183,,C,13000,15000,1,https://example.invalid/hdo/903,,
HDO-00904,中古 腕時計 ソーラー電波 #184,CASIO,時計,OCW-S-184,,ジャンク,40750,52500,1,https://example.invalid/hdo/904,,
HDO-00905,中古 ダウンジャケット #185,UNIQLO,アパレル,DWN-01-185,,S,9390,11200,1,https://example.invalid/hdo/905,相場サイト 直近30日中央値,2026-08-19
HDO-00906,中古 ランニングシューズ #186,ASICS,スニーカー,GEL-KAYANO-186,,A,12596,16100,1,https://example.invalid/hdo/906,,
HDO-00907,中古 ビジネスバッグ 本革 #187,PORTER,バッグ,PT-BIZ-187,,B,19550,26000,1,https://example.invalid/hdo/907,,
HDO-00908,中古 二つ折り財布 #188,COACH,財布,CH-W2-188,,C,8060,9800,1,https://example.invalid/hdo/908,,
HDO-00909,中古 アコースティックギター #189,YAMAHA,楽器,FG830-189,,ジャンク,21540,26500,1,https://example.invalid/hdo/909,相場サイト 直近30日中央値,2026-08-19
HDO-00910,中古 キーボード 61鍵 #190,CASIO,楽器,CT-S300-190,,S,10750,15000,4,https://example.invalid/hdo/910,,
HDO-00911,中古 ゲームソフト 人気タイトル #191,NINTENDO,ゲームソフト,HAC-GEN-191,,A,3785,5300,1,https://example.invalid/hdo/911,,
HDO-00912,中古 家庭用ゲーム機 旧型 #192,SONY,ゲーム機,CUH-2200-192,,B,15090,19000,1,https://example.invalid/hdo/912,,
HDO-00913,中古 タブレット 10型 #193,LENOVO,タブレット,TB-J606-193,,C,12163,18500,1,https://example.invalid/hdo/913,相場サイト 直近30日中央値,2026-08-19
HDO-00914,中古 スマートウォッチ #194,GARMIN,時計,FR-255-194,,ジャンク,24400,27000,1,https://example.invalid/hdo/914,,
HDO-00915,中古 空気清浄機 #195,PANASONIC,生活家電,F-VXR-195,,S,16750,22500,1,https://example.invalid/hdo/915,,
HDO-00916,中古 コーヒーメーカー #196,DELONGHI,生活家電,ECAM-196,,A,22690,36000,1,https://example.invalid/hdo/916,,
HDO-00917,中古 電動アシスト自転車 バッテリー #197,YAMAHA,その他,X0T-82-197,,B,21540,26500,1,https://example.invalid/hdo/917,相場サイト 直近30日中央値,2026-08-19
HDO-00918,中古 プロジェクター 小型 #198,EPSON,家電,EF-12-198,,C,42450,46000,1,https://example.invalid/hdo/918,,
HDO-00919,中古 マイク コンデンサー #199,AUDIOTECHNICA,オーディオ,AT2020-199,,ジャンク,10190,14300,4,https://example.invalid/hdo/919,,
HDO-00920,中古 トートバッグ ナイロン #200,PRADA,バッグ,BR4001-200,,S,53850,58000,1,https://example.invalid/hdo/920,,
HDO-00921,中古 ノートパソコン 15型 #201,NEC,家電,PC-GN-201,,A,31150,40500,1,https://example.invalid/hdo/921,相場サイト 直近30日中央値,2026-08-19
HDO-00922,中古 電子レンジ #202,SHARP,生活家電,RE-SS-202,,B,15090,19000,1,https://example.invalid/hdo/922,,
HDO-00923,中古 掃除機 コードレス #203,DYSON,生活家電,V8-203,,C,25825,28500,1,https://example.invalid/hdo/923,,
HDO-00924,中古 炊飯器 5.5合 #204,ZOJIRUSHI,生活家電,NP-BK-204,,ジャンク,17150,23000,1,https://example.invalid/hdo/924,,
HDO-00925,中古 液晶モニタ 24型 #205,IODATA,家電,LCD-MF-205,,S,9200,11000,1,https://example.invalid/hdo/925,相場サイト 直近30日中央値,2026-08-19
HDO-00926,中古 コンパクトデジタルカメラ #206,CANON,カメラ,IXY650-206,,A,10360,13500,1,https://example.invalid/hdo/926,,
HDO-00927,中古 ミラーレス標準ズームレンズ #207,NIKON,カメラ,NIKKOR-Z-207,,B,21950,29000,1,https://example.invalid/hdo/927,,
HDO-00928,中古 ブルートゥーススピーカー #208,JBL,オーディオ,FLIP6-208,,C,8725,10500,4,https://example.invalid/hdo/928,,
HDO-00929,中古 腕時計 ソーラー電波 #209,CASIO,時計,OCW-S-209,,ジャンク,40030,48000,1,https://example.invalid/hdo/929,相場サイト 直近30日中央値,2026-08-19
HDO-00930,中古 ダウンジャケット #210,UNIQLO,アパレル,DWN-01-210,,S,4110,6700,1,https://example.invalid/hdo/930,,
HDO-00931,中古 ランニングシューズ #211,ASICS,スニーカー,GEL-KAYANO-211,,A,9770,11600,1,https://example.invalid/hdo/931,,
HDO-00932,中古 ビジネスバッグ 本革 #212,PORTER,バッグ,PT-BIZ-212,,B,17240,21500,1,https://example.invalid/hdo/932,,
HDO-00933,中古 二つ折り財布 #213,COACH,財布,CH-W2-213,,C,8755,13800,1,https://example.invalid/hdo/933,相場サイト 直近30日中央値,2026-08-19
HDO-00934,中古 アコースティックギター #214,YAMAHA,楽器,FG830-214,,ジャンク,27725,30500,1,https://example.invalid/hdo/934,,
HDO-00935,中古 キーボード 61鍵 #215,CASIO,楽器,CT-S300-215,,S,13950,19000,1,https://example.invalid/hdo/935,,
HDO-00936,中古 ゲームソフト 人気タイトル #216,NINTENDO,ゲームソフト,HAC-GEN-216,,A,4935,9300,1,https://example.invalid/hdo/936,,
HDO-00937,中古 家庭用ゲーム機 旧型 #217,SONY,ゲーム機,CUH-2200-217,,B,18530,23000,4,https://example.invalid/hdo/937,相場サイト 直近30日中央値,2026-08-19
HDO-00938,中古 タブレット 10型 #218,LENOVO,タブレット,TB-J606-218,,C,20125,22500,1,https://example.invalid/hdo/938,,
HDO-00939,中古 スマートウォッチ #219,GARMIN,時計,FR-255-219,,ジャンク,23550,31000,1,https://example.invalid/hdo/939,,
HDO-00940,中古 空気清浄機 #220,PANASONIC,生活家電,F-VXR-220,,S,23925,26500,1,https://example.invalid/hdo/940,,
HDO-00941,中古 コーヒーメーカー #221,DELONGHI,生活家電,ECAM-221,,A,30750,40000,1,https://example.invalid/hdo/941,相場サイト 直近30日中央値,2026-08-19
HDO-00942,中古 電動アシスト自転車 バッテリー #222,YAMAHA,その他,X0T-82-222,,B,17670,22000,1,https://example.invalid/hdo/942,,
HDO-00943,中古 プロジェクター 小型 #223,EPSON,家電,EF-12-223,,C,38175,41500,1,https://example.invalid/hdo/943,,
HDO-00944,中古 マイク コンデンサー #224,AUDIOTECHNICA,オーディオ,AT2020-224,,ジャンク,6590,9800,1,https://example.invalid/hdo/944,,
HDO-00945,中古 トートバッグ ナイロン #225,PRADA,バッグ,BR4001-225,,S,49575,53500,1,https://example.invalid/hdo/945,相場サイト 直近30日中央値,2026-08-19
HDO-00946,中古 ノートパソコン 15型 #226,NEC,家電,PC-GN-226,,A,29710,36000,4,https://example.invalid/hdo/946,,
HDO-00947,中古 電子レンジ #227,SHARP,生活家電,RE-SS-227,,B,10350,14500,1,https://example.invalid/hdo/947,,
HDO-00948,中古 掃除機 コードレス #228,DYSON,生活家電,V8-228,,C,21550,24000,1,https://example.invalid/hdo/948,,
HDO-00949,中古 炊飯器 5.5合 #229,ZOJIRUSHI,生活家電,NP-BK-229,,ジャンク,14660,18500,1,https://example.invalid/hdo/949,相場サイト 直近30日中央値,2026-08-19
HDO-00950,中古 液晶モニタ 24型 #230,IODATA,家電,LCD-MF-230,,S,10750,15000,1,https://example.invalid/hdo/950,,
HDO-00951,中古 コンパクトデジタルカメラ #231,CANON,カメラ,IXY650-231,,A,15375,17500,1,https://example.invalid/hdo/951,,
HDO-00952,中古 ミラーレス標準ズームレンズ #232,NIKON,カメラ,NIKKOR-Z-232,,B,27130,33000,1,https://example.invalid/hdo/952,,
HDO-00953,中古 ブルートゥーススピーカー #233,JBL,オーディオ,FLIP6-233,,C,9263,14500,1,https://example.invalid/hdo/953,相場サイト 直近30日中央値,2026-08-19
HDO-00954,中古 腕時計 ソーラー電波 #234,CASIO,時計,OCW-S-234,,ジャンク,48150,52000,1,https://example.invalid/hdo/954,,
HDO-00955,中古 ダウンジャケット #235,UNIQLO,アパレル,DWN-01-235,,S,7310,10700,4,https://example.invalid/hdo/955,,
HDO-00956,中古 ランニングシューズ #236,ASICS,スニーカー,GEL-KAYANO-236,,A,9124,15600,1,https://example.invalid/hdo/956,,
HDO-00957,中古 ビジネスバッグ 本革 #237,PORTER,バッグ,PT-BIZ-237,,B,20680,25500,1,https://example.invalid/hdo/957,相場サイト 直近30日中央値,2026-08-19
HDO-00958,中古 二つ折り財布 #238,COACH,財布,CH-W2-238,,C,15660,17800,1,https://example.invalid/hdo/958,,
HDO-00959,中古 アコースティックギター #239,YAMAHA,楽器,FG830-239,,ジャンク,19550,26000,1,https://example.invalid/hdo/959,,
HDO-00960,中古 キーボード 61鍵 #240,CASIO,楽器,CT-S300-240,,S,12525,14500,1,https://example.invalid/hdo/960,,
HDO-00961,中古 ゲームソフト 人気タイトル #241,NINTENDO,ゲームソフト,HAC-GEN-241,,A,2590,4800,1,https://example.invalid/hdo/961,相場サイト 直近30日中央値,2026-08-19
HDO-00962,中古 家庭用ゲーム機 旧型 #242,SONY,ゲーム機,CUH-2200-242,,B,14660,18500,1,https://example.invalid/hdo/962,,
HDO-00963,中古 タブレット 10型 #243,LENOVO,タブレット,TB-J606-243,,C,15850,18000,1,https://example.invalid/hdo/963,,
HDO-00964,中古 スマートウォッチ #244,GARMIN,時計,FR-255-244,,ジャンク,19950,26500,4,https://example.invalid/hdo/964,,
HDO-00965,中古 空気清浄機 #245,PANASONIC,生活家電,F-VXR-245,,S,19650,22000,1,https://example.invalid/hdo/965,相場サイト 直近30日中央値,2026-08-19
HDO-00966,中古 コーヒーメーカー #246,DELONGHI,生活家電,ECAM-246,,A,29280,35500,1,https://example.invalid/hdo/966,,
HDO-00967,中古 電動アシスト自転車 バッテリー #247,YAMAHA,その他,X0T-82-247,,B,19550,26000,1,https://example.invalid/hdo/967,,
HDO-00968,中古 プロジェクター 小型 #248,EPSON,家電,EF-12-248,,C,41975,45500,1,https://example.invalid/hdo/968,,
HDO-00969,中古 マイク コンデンサー #249,AUDIOTECHNICA,オーディオ,AT2020-249,,ジャンク,10618,13800,1,https://example.invalid/hdo/969,相場サイト 直近30日中央値,2026-08-19
HDO-00970,中古 トートバッグ ナイロン #250,PRADA,バッグ,BR4001-250,,S,44750,57500,1,https://example.invalid/hdo/970,,
HDO-00971,中古 ノートパソコン 15型 #251,NEC,家電,PC-GN-251,,A,36750,40000,1,https://example.invalid/hdo/971,,
HDO-00972,中古 電子レンジ #252,SHARP,生活家電,RE-SS-252,,B,14660,18500,1,https://example.invalid/hdo/972,,
HDO-00973,中古 掃除機 コードレス #253,DYSON,生活家電,V8-253,,C,19050,28000,4,https://example.invalid/hdo/973,相場サイト 直近30日中央値,2026-08-19
HDO-00974,中古 炊飯器 5.5合 #254,ZOJIRUSHI,生活家電,NP-BK-254,,ジャンク,20125,22500,1,https://example.invalid/hdo/974,,
HDO-00975,中古 液晶モニタ 24型 #255,IODATA,家電,LCD-MF-255,,S,13950,19000,1,https://example.invalid/hdo/975,,
HDO-00976,中古 コンパクトデジタルカメラ #256,CANON,カメラ,IXY650-256,,A,7395,13000,1,https://example.invalid/hdo/976,,
HDO-00977,中古 ミラーレス標準ズームレンズ #257,NIKON,カメラ,NIKKOR-Z-257,,B,23260,28500,1,https://example.invalid/hdo/977,相場サイト 直近30日中央値,2026-08-19
HDO-00978,中古 ブルートゥーススピーカー #258,JBL,オーディオ,FLIP6-258,,C,8250,10000,1,https://example.invalid/hdo/978,,
HDO-00979,中古 腕時計 ソーラー電波 #259,CASIO,時計,OCW-S-259,,ジャンク,36750,47500,1,https://example.invalid/hdo/979,,
HDO-00980,中古 ダウンジャケット #260,UNIQLO,アパレル,DWN-01-260,,S,4640,6200,1,https://example.invalid/hdo/980,,
HDO-00981,中古 ランニングシューズ #261,ASICS,スニーカー,GEL-KAYANO-261,,A,7630,11100,1,https://example.invalid/hdo/981,相場サイト 直近30日中央値,2026-08-19
HDO-00982,中古 ビジネスバッグ 本革 #262,PORTER,バッグ,PT-BIZ-262,,B,16810,21000,4,https://example.invalid/hdo/982,,
HDO-00983,中古 二つ折り財布 #263,COACH,財布,CH-W2-263,,C,11385,13300,1,https://example.invalid/hdo/983,,
HDO-00984,中古 アコースティックギター #264,YAMAHA,楽器,FG830-264,,ジャンク,22750,30000,1,https://example.invalid/hdo/984,,
HDO-00985,中古 キーボード 61鍵 #265,CASIO,楽器,CT-S300-265,,S,16325,18500,1,https://example.invalid/hdo/985,相場サイト 直近30日中央値,2026-08-19
HDO-00986,中古 ゲームソフト 人気タイトル #266,NINTENDO,ゲームソフト,HAC-GEN-266,,A,6318,8800,1,https://example.invalid/hdo/986,,
HDO-00987,中古 家庭用ゲーム機 旧型 #267,SONY,ゲーム機,CUH-2200-267,,B,16750,22500,1,https://example.invalid/hdo/987,,
HDO-00988,中古 タブレット 10型 #268,LENOVO,タブレット,TB-J606-268,,C,19650,22000,1,https://example.invalid/hdo/988,,
HDO-00989,中古 スマートウォッチ #269,GARMIN,時計,FR-255-269,,ジャンク,24980,30500,1,https://example.invalid/hdo/989,相場サイト 直近30日中央値,2026-08-19
HDO-00990,中古 空気清浄機 #270,PANASONIC,生活家電,F-VXR-270,,S,19550,26000,1,https://example.invalid/hdo/990,,
HDO-00991,中古 コーヒーメーカー #271,DELONGHI,生活家電,ECAM-271,,A,36275,39500,4,https://example.invalid/hdo/991,,
HDO-00992,中古 電動アシスト自転車 バッテリー #272,YAMAHA,その他,X0T-82-272,,B,24550,30000,1,https://example.invalid/hdo/992,,
HDO-00993,中古 プロジェクター 小型 #273,EPSON,家電,EF-12-273,,C,28475,41000,1,https://example.invalid/hdo/993,相場サイト 直近30日中央値,2026-08-19
HDO-00994,中古 マイク コンデンサー #274,AUDIOTECHNICA,オーディオ,AT2020-274,,ジャンク,7585,9300,1,https://example.invalid/hdo/994,,
HDO-00995,中古 トートバッグ ナイロン #275,PRADA,バッグ,BR4001-275,,S,41150,53000,1,https://example.invalid/hdo/995,,
HDO-00996,中古 ノートパソコン 15型 #276,NEC,家電,PC-GN-276,,A,22358,35500,1,https://example.invalid/hdo/996,,
HDO-00997,中古 電子レンジ #277,SHARP,生活家電,RE-SS-277,,B,10790,14000,1,https://example.invalid/hdo/997,相場サイト 直近30日中央値,2026-08-19
HDO-00998,中古 掃除機 コードレス #278,DYSON,生活家電,V8-278,,C,21075,23500,1,https://example.invalid/hdo/998,,
HDO-00999,中古 炊飯器 5.5合 #279,ZOJIRUSHI,生活家電,NP-BK-279,,ジャンク,13150,18000,1,https://example.invalid/hdo/999,,
HDO-01000,中古 液晶モニタ 24型 #280,IODATA,家電,LCD-MF-280,,S,12525,14500,4,https://example.invalid/hdo/1000,,
HDO-01001,中古 コンパクトデジタルカメラ #281,CANON,カメラ,IXY650-281,,A,12350,17000,1,https://example.invalid/hdo/1001,相場サイト 直近30日中央値,2026-08-19
HDO-01002,中古 ミラーレス標準ズームレンズ #282,NIKON,カメラ,NIKKOR-Z-282,,B,26700,32500,1,https://example.invalid/hdo/1002,,
HDO-01003,中古 ブルートゥーススピーカー #283,JBL,オーディオ,FLIP6-283,,C,12050,14000,1,https://example.invalid/hdo/1003,,
HDO-01004,中古 腕時計 ソーラー電波 #284,CASIO,時計,OCW-S-284,,ジャンク,39950,51500,1,https://example.invalid/hdo/1004,,
HDO-01005,中古 ダウンジャケット #285,UNIQLO,アパレル,DWN-01-285,,S,8440,10200,1,https://example.invalid/hdo/1005,相場サイト 直近30日中央値,2026-08-19
HDO-01006,中古 ランニングシューズ #286,ASICS,スニーカー,GEL-KAYANO-286,,A,11736,15100,1,https://example.invalid/hdo/1006,,
HDO-01007,中古 ビジネスバッグ 本革 #287,PORTER,バッグ,PT-BIZ-287,,B,18750,25000,1,https://example.invalid/hdo/1007,,
HDO-01008,中古 二つ折り財布 #288,COACH,財布,CH-W2-288,,C,15185,17300,1,https://example.invalid/hdo/1008,,
HDO-01009,中古 アコースティックギター #289,YAMAHA,楽器,FG830-289,,ジャンク,27990,34000,4,https://example.invalid/hdo/1009,相場サイト 直近30日中央値,2026-08-19
HDO-01010,中古 キーボード 61鍵 #290,CASIO,楽器,CT-S300-290,,S,9950,14000,1,https://example.invalid/hdo/1010,,
HDO-01011,中古 ゲームソフト 人気タイトル #291,NINTENDO,ゲームソフト,HAC-GEN-291,,A,2835,4300,1,https://example.invalid/hdo/1011,,
HDO-01012,中古 家庭用ゲーム機 旧型 #292,SONY,ゲーム機,CUH-2200-292,,B,14230,18000,1,https://example.invalid/hdo/1012,,
HDO-01013,中古 タブレット 10型 #293,LENOVO,タブレット,TB-J606-293,,C,11438,17500,1,https://example.invalid/hdo/1013,相場サイト 直近30日中央値,2026-08-19
HDO-01014,中古 スマートウォッチ #294,GARMIN,時計,FR-255-294,,ジャンク,23450,26000,1,https://example.invalid/hdo/1014,,
HDO-01015,中古 空気清浄機 #295,PANASONIC,生活家電,F-VXR-295,,S,15950,21500,1,https://example.invalid/hdo/1015,,
HDO-01016,中古 コーヒーメーカー #296,DELONGHI,生活家電,ECAM-296,,A,22025,35000,1,https://example.invalid/hdo/1016,,
HDO-01017,中古 電動アシスト自転車 バッテリー #297,YAMAHA,その他,X0T-82-297,,B,20680,25500,1,https://example.invalid/hdo/1017,相場サイト 直近30日中央値,2026-08-19
HDO-01018,中古 プロジェクター 小型 #298,EPSON,家電,EF-12-298,,C,41500,45000,4,https://example.invalid/hdo/1018,,
HDO-01019,中古 マイク コンデンサー #299,AUDIOTECHNICA,オーディオ,AT2020-299,,ジャンク,9390,13300,1,https://example.invalid/hdo/1019,,
HDO-01020,中古 トートバッグ ナイロン #300,PRADA,バッグ,BR4001-300,,S,52900,57000,1,https://example.invalid/hdo/1020,,
