市場,区分,ブランド,型番,JAN,価格,価格の種類,成約件数,出品件数,平均売却日数,価格ばらつき,取得日
RAKUMA,SELL,PRADA,BR4001-250,,55200,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PRADA,BR4001-250,,53475,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PRADA,BR4001-250,,64400,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PRADA,BR4001-250,,74750,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PRADA,BR4001-250,,60375,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PRADA,BR4001-250,,41400,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PRADA,BR4001-250,,39100,出品,,26,,0.14,2026-08-20
MERCARI,SELL,JBL,FLIP6-258,,10000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,JBL,FLIP6-258,,9600,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,JBL,FLIP6-258,,9300,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,JBL,FLIP6-258,,11200,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,JBL,FLIP6-258,,13000,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,JBL,FLIP6-258,,10500,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,JBL,FLIP6-258,,7200,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,JBL,FLIP6-258,,6800,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NINTENDO,HAC-GEN-266,,8800,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NINTENDO,HAC-GEN-266,,8448,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NINTENDO,HAC-GEN-266,,8184,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NINTENDO,HAC-GEN-266,,9856,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NINTENDO,HAC-GEN-266,,11440,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NINTENDO,HAC-GEN-266,,9240,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NINTENDO,HAC-GEN-266,,6336,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NINTENDO,HAC-GEN-266,,5984,出品,,26,,0.14,2026-08-20
MERCARI,SELL,AUDIOTECHNICA,AT2020-274,,9300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,AUDIOTECHNICA,AT2020-274,,8928,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,AUDIOTECHNICA,AT2020-274,,8649,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,AUDIOTECHNICA,AT2020-274,,10416,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,AUDIOTECHNICA,AT2020-274,,12090,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,AUDIOTECHNICA,AT2020-274,,9765,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,AUDIOTECHNICA,AT2020-274,,6696,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,AUDIOTECHNICA,AT2020-274,,6324,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NIKON,NIKKOR-Z-282,,32500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NIKON,NIKKOR-Z-282,,31200,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NIKON,NIKKOR-Z-282,,30225,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NIKON,NIKKOR-Z-282,,36400,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NIKON,NIKKOR-Z-282,,42250,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NIKON,NIKKOR-Z-282,,34125,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NIKON,NIKKOR-Z-282,,23400,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NIKON,NIKKOR-Z-282,,22100,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CASIO,CT-S300-290,,14000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CASIO,CT-S300-290,,13440,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CASIO,CT-S300-290,,13020,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CASIO,CT-S300-290,,15680,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CASIO,CT-S300-290,,18200,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CASIO,CT-S300-290,,14700,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CASIO,CT-S300-290,,10080,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CASIO,CT-S300-290,,9520,出品,,26,,0.14,2026-08-20
MERCARI,SELL,EPSON,EF-12-298,,45000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,EPSON,EF-12-298,,43200,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,EPSON,EF-12-298,,41850,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,EPSON,EF-12-298,,50400,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,EPSON,EF-12-298,,58500,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,EPSON,EF-12-298,,47250,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,EPSON,EF-12-298,,32400,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,EPSON,EF-12-298,,30600,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SONY,CFI-2000B01,4948872416283,62000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SONY,CFI-2000B01,4948872416283,59520,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SONY,CFI-2000B01,4948872416283,57660,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,SONY,CFI-2000B01,4948872416283,69440,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SONY,CFI-2000B01,4948872416283,80600,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SONY,CFI-2000B01,4948872416283,65100,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SONY,CFI-2000B01,4948872416283,44640,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SONY,CFI-2000B01,4948872416283,42160,出品,,26,,0.14,2026-08-20
MERCARI,SELL,APPLE,MTJV3J/A,4549995402452,33000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,APPLE,MTJV3J/A,4549995402452,31680,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,APPLE,MTJV3J/A,4549995402452,30690,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,APPLE,MTJV3J/A,4549995402452,36960,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,APPLE,MTJV3J/A,4549995402452,42900,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,APPLE,MTJV3J/A,4549995402452,34650,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,APPLE,MTJV3J/A,4549995402452,23760,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,APPLE,MTJV3J/A,4549995402452,22440,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NIKON,ZFC,4960759905499,96000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NIKON,ZFC,4960759905499,92160,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NIKON,ZFC,4960759905499,89280,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NIKON,ZFC,4960759905499,107520,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NIKON,ZFC,4960759905499,124800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NIKON,ZFC,4960759905499,100800,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NIKON,ZFC,4960759905499,69120,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NIKON,ZFC,4960759905499,65280,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NINTENDO,HAC-P-AXQEA,4902370550733,5200,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NINTENDO,HAC-P-AXQEA,4902370550733,4992,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NINTENDO,HAC-P-AXQEA,4902370550733,4836,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NINTENDO,HAC-P-AXQEA,4902370550733,5824,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NINTENDO,HAC-P-AXQEA,4902370550733,6760,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NINTENDO,HAC-P-AXQEA,4902370550733,5460,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NINTENDO,HAC-P-AXQEA,4902370550733,3744,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NINTENDO,HAC-P-AXQEA,4902370550733,3536,出品,,26,,0.14,2026-08-20
MERCARI,SELL,APPLE,MPQ03J/A,4549995362268,46000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,APPLE,MPQ03J/A,4549995362268,44160,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,APPLE,MPQ03J/A,4549995362268,42780,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,APPLE,MPQ03J/A,4549995362268,51520,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,APPLE,MPQ03J/A,4549995362268,59800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,APPLE,MPQ03J/A,4549995362268,48300,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,APPLE,MPQ03J/A,4549995362268,33120,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,APPLE,MPQ03J/A,4549995362268,31280,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CANON,IXY650-6,,15500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CANON,IXY650-6,,14880,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CANON,IXY650-6,,14415,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CANON,IXY650-6,,17360,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CANON,IXY650-6,,20150,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CANON,IXY650-6,,16275,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CANON,IXY650-6,,11160,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CANON,IXY650-6,,10540,出品,,26,,0.14,2026-08-20
MERCARI,SELL,YAMAHA,FG830-14,,32500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,YAMAHA,FG830-14,,31200,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,YAMAHA,FG830-14,,30225,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,YAMAHA,FG830-14,,36400,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,YAMAHA,FG830-14,,42250,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,YAMAHA,FG830-14,,34125,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,YAMAHA,FG830-14,,23400,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,YAMAHA,FG830-14,,22100,出品,,26,,0.14,2026-08-20
MERCARI,SELL,YAMAHA,X0T-82-22,4900000000021,24000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,YAMAHA,X0T-82-22,4900000000021,23040,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,YAMAHA,X0T-82-22,4900000000021,22320,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,YAMAHA,X0T-82-22,4900000000021,26880,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,YAMAHA,X0T-82-22,4900000000021,31200,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,YAMAHA,X0T-82-22,4900000000021,25200,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,YAMAHA,X0T-82-22,4900000000021,17280,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,YAMAHA,X0T-82-22,4900000000021,16320,出品,,26,,0.14,2026-08-20
MERCARI,SELL,IODATA,LCD-MF-30,,17000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,IODATA,LCD-MF-30,,16320,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,IODATA,LCD-MF-30,,15810,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,IODATA,LCD-MF-30,,19040,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,IODATA,LCD-MF-30,,22100,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,IODATA,LCD-MF-30,,17850,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,IODATA,LCD-MF-30,,12240,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,IODATA,LCD-MF-30,,11560,出品,,26,,0.14,2026-08-20
MERCARI,SELL,COACH,CH-W2-38,,11300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,COACH,CH-W2-38,,10848,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,COACH,CH-W2-38,,10509,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,COACH,CH-W2-38,,12656,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,COACH,CH-W2-38,,14690,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,COACH,CH-W2-38,,11865,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,COACH,CH-W2-38,,8136,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,COACH,CH-W2-38,,7684,出品,,26,,0.14,2026-08-20
MERCARI,SELL,DELONGHI,ECAM-46,4900000000045,37500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,DELONGHI,ECAM-46,4900000000045,36000,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,DELONGHI,ECAM-46,4900000000045,34875,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,DELONGHI,ECAM-46,4900000000045,42000,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,DELONGHI,ECAM-46,4900000000045,48750,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,DELONGHI,ECAM-46,4900000000045,39375,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,DELONGHI,ECAM-46,4900000000045,27000,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,DELONGHI,ECAM-46,4900000000045,25500,出品,,26,,0.14,2026-08-20
MERCARI,SELL,ZOJIRUSHI,NP-BK-54,,16000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,ZOJIRUSHI,NP-BK-54,,15360,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,ZOJIRUSHI,NP-BK-54,,14880,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,ZOJIRUSHI,NP-BK-54,,17920,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,ZOJIRUSHI,NP-BK-54,,20800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,ZOJIRUSHI,NP-BK-54,,16800,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,ZOJIRUSHI,NP-BK-54,,11520,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,ZOJIRUSHI,NP-BK-54,,10880,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PORTER,PT-BIZ-62,,23000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PORTER,PT-BIZ-62,,22080,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PORTER,PT-BIZ-62,,21390,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PORTER,PT-BIZ-62,,25760,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PORTER,PT-BIZ-62,,29900,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PORTER,PT-BIZ-62,,24150,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PORTER,PT-BIZ-62,,16560,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PORTER,PT-BIZ-62,,15640,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PANASONIC,F-VXR-70,4900000000069,19500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PANASONIC,F-VXR-70,4900000000069,18720,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PANASONIC,F-VXR-70,4900000000069,18135,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PANASONIC,F-VXR-70,4900000000069,21840,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PANASONIC,F-VXR-70,4900000000069,25350,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PANASONIC,F-VXR-70,4900000000069,20475,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PANASONIC,F-VXR-70,4900000000069,14040,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PANASONIC,F-VXR-70,4900000000069,13260,出品,,26,,0.14,2026-08-20
MERCARI,SELL,DYSON,V8-78,,25500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,DYSON,V8-78,,24480,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,DYSON,V8-78,,23715,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,DYSON,V8-78,,28560,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,DYSON,V8-78,,33150,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,DYSON,V8-78,,26775,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,DYSON,V8-78,,18360,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,DYSON,V8-78,,17340,出品,,26,,0.14,2026-08-20
MERCARI,SELL,ASICS,GEL-KAYANO-86,,8600,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,ASICS,GEL-KAYANO-86,,8256,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,ASICS,GEL-KAYANO-86,,7998,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,ASICS,GEL-KAYANO-86,,9632,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,ASICS,GEL-KAYANO-86,,11180,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,ASICS,GEL-KAYANO-86,,9030,出品,,1,30,0.05,2026-08-20
SNKRDUNK,SELL,ASICS,GEL-KAYANO-86,,10492,成約,11,18,9,0.05,2026-08-20
MERCARI,BUY,ASICS,GEL-KAYANO-86,,6192,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,ASICS,GEL-KAYANO-86,,5848,出品,,26,,0.14,2026-08-20
SNKRDUNK,BUY,ASICS,GEL-KAYANO-86,,6880,出品,,18,,0.05,2026-08-20
MERCARI,SELL,GARMIN,FR-255-94,4900000000093,28000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,GARMIN,FR-255-94,4900000000093,26880,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,GARMIN,FR-255-94,4900000000093,26040,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,GARMIN,FR-255-94,4900000000093,31360,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,GARMIN,FR-255-94,4900000000093,36400,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,GARMIN,FR-255-94,4900000000093,29400,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,GARMIN,FR-255-94,4900000000093,20160,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,GARMIN,FR-255-94,4900000000093,19040,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SHARP,RE-SS-102,,20000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SHARP,RE-SS-102,,19200,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SHARP,RE-SS-102,,18600,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,SHARP,RE-SS-102,,22400,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SHARP,RE-SS-102,,26000,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SHARP,RE-SS-102,,21000,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SHARP,RE-SS-102,,14400,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SHARP,RE-SS-102,,13600,出品,,26,,0.14,2026-08-20
MERCARI,SELL,UNIQLO,DWN-01-110,,7700,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,UNIQLO,DWN-01-110,,7392,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,UNIQLO,DWN-01-110,,7161,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,UNIQLO,DWN-01-110,,8624,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,UNIQLO,DWN-01-110,,10010,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,UNIQLO,DWN-01-110,,8085,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,UNIQLO,DWN-01-110,,5544,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,UNIQLO,DWN-01-110,,5236,出品,,26,,0.14,2026-08-20
MERCARI,SELL,LENOVO,TB-J606-118,4900000000117,23500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,LENOVO,TB-J606-118,4900000000117,22560,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,LENOVO,TB-J606-118,4900000000117,21855,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,LENOVO,TB-J606-118,4900000000117,26320,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,LENOVO,TB-J606-118,4900000000117,30550,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,LENOVO,TB-J606-118,4900000000117,24675,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,LENOVO,TB-J606-118,4900000000117,16920,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,LENOVO,TB-J606-118,4900000000117,15980,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NEC,PC-GN-126,,37000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NEC,PC-GN-126,,35520,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NEC,PC-GN-126,,34410,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NEC,PC-GN-126,,41440,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NEC,PC-GN-126,,48100,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NEC,PC-GN-126,,38850,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NEC,PC-GN-126,,26640,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NEC,PC-GN-126,,25160,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CASIO,OCW-S-134,,53000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CASIO,OCW-S-134,,50880,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CASIO,OCW-S-134,,49290,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CASIO,OCW-S-134,,59360,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CASIO,OCW-S-134,,68900,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CASIO,OCW-S-134,,55650,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CASIO,OCW-S-134,,38160,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CASIO,OCW-S-134,,36040,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SONY,CUH-2200-142,4900000000141,19500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SONY,CUH-2200-142,4900000000141,18720,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SONY,CUH-2200-142,4900000000141,18135,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,SONY,CUH-2200-142,4900000000141,21840,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SONY,CUH-2200-142,4900000000141,25350,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SONY,CUH-2200-142,4900000000141,20475,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SONY,CUH-2200-142,4900000000141,14040,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SONY,CUH-2200-142,4900000000141,13260,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PRADA,BR4001-150,,58500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PRADA,BR4001-150,,56160,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PRADA,BR4001-150,,54405,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PRADA,BR4001-150,,65520,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PRADA,BR4001-150,,76050,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PRADA,BR4001-150,,61425,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PRADA,BR4001-150,,42120,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PRADA,BR4001-150,,39780,出品,,26,,0.14,2026-08-20
MERCARI,SELL,JBL,FLIP6-158,,11000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,JBL,FLIP6-158,,10560,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,JBL,FLIP6-158,,10230,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,JBL,FLIP6-158,,12320,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,JBL,FLIP6-158,,14300,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,JBL,FLIP6-158,,11550,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,JBL,FLIP6-158,,7920,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,JBL,FLIP6-158,,7480,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NINTENDO,HAC-GEN-166,4900000000165,9800,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NINTENDO,HAC-GEN-166,4900000000165,9408,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NINTENDO,HAC-GEN-166,4900000000165,9114,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NINTENDO,HAC-GEN-166,4900000000165,10976,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NINTENDO,HAC-GEN-166,4900000000165,12740,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NINTENDO,HAC-GEN-166,4900000000165,10290,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NINTENDO,HAC-GEN-166,4900000000165,7056,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NINTENDO,HAC-GEN-166,4900000000165,6664,出品,,26,,0.14,2026-08-20
MERCARI,SELL,AUDIOTECHNICA,AT2020-174,,10300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,AUDIOTECHNICA,AT2020-174,,9888,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,AUDIOTECHNICA,AT2020-174,,9579,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,AUDIOTECHNICA,AT2020-174,,11536,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,AUDIOTECHNICA,AT2020-174,,13390,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,AUDIOTECHNICA,AT2020-174,,10815,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,AUDIOTECHNICA,AT2020-174,,7416,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,AUDIOTECHNICA,AT2020-174,,7004,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NIKON,NIKKOR-Z-182,,33500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NIKON,NIKKOR-Z-182,,32160,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NIKON,NIKKOR-Z-182,,31155,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NIKON,NIKKOR-Z-182,,37520,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NIKON,NIKKOR-Z-182,,43550,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NIKON,NIKKOR-Z-182,,35175,出品,,1,30,0.05,2026-08-20
